Period,Provider Org Name,WaitCategory,Patients
2025-04-01,ABOUT HEALTH HQ,0-18 Weeks,1214.0
2025-04-01,ABOUT HEALTH HQ,18-52 Weeks,36.0
2025-04-01,ABOUT HEALTH HQ,52+ Weeks,0.0
2025-04-01,ABOUT HEALTH HQ,Other,4820.0
2025-04-01,AIREDALE NHS FOUNDATION TRUST,0-18 Weeks,7454.0
2025-04-01,AIREDALE NHS FOUNDATION TRUST,18-52 Weeks,1366.0
2025-04-01,AIREDALE NHS FOUNDATION TRUST,52+ Weeks,84.0
2025-04-01,AIREDALE NHS FOUNDATION TRUST,Other,30296.0
2025-04-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,0-18 Weeks,5416.0
2025-04-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,18-52 Weeks,2780.0
2025-04-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,52+ Weeks,294.0
2025-04-01,ALDER HEY CHILDREN'S NHS FOUNDATION TRUST,Other,46016.0
2025-04-01,ALEXANDRA HOSPITAL,0-18 Weeks,460.0
2025-04-01,ALEXANDRA HOSPITAL,18-52 Weeks,58.0
2025-04-01,ALEXANDRA HOSPITAL,52+ Weeks,0.0
2025-04-01,ALEXANDRA HOSPITAL,Other,1740.0
2025-04-01,ANGLIA COMMUNITY EYE SERVICE LTD,0-18 Weeks,2374.0
2025-04-01,ANGLIA COMMUNITY EYE SERVICE LTD,18-52 Weeks,22.0
2025-04-01,ANGLIA COMMUNITY EYE SERVICE LTD,52+ Weeks,12.0
2025-04-01,ANGLIA COMMUNITY EYE SERVICE LTD,Other,2462.0
2025-04-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,0-18 Weeks,21350.0
2025-04-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,18-52 Weeks,6220.0
2025-04-01,ASHFORD AND ST PETER'S HOSPITALS NHS FOUNDATION TRUST,52+ Weeks,552.0
